Authors,Title,Year,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address, ,article #,First Author Affiliation,first_region,first_income,Corr. Author Affiliation,,Include paper? (Y or N),"If No, why (e.g. correction, review, simulated data, previously published)",Data Country 1 (leave blank if none),Region1,Income1,Data Country 2,Data Country 3,Data Country 4,Data Country 5,Data Country 6,Data Country 7,Data Country 8,Data Country 9,Your name
"Lyons A.J., Turner W.C., Getz W.M.",Home range plus: A space-time characterization of movement over real landscapes,2013,10.1186/2051-3933-1-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897945291&doi=10.1186%2f2051-3933-1-2&partnerID=40&md5=b8f0dcb6eee75172701a53438ce04d06,"University of California at Berkeley, Department of Environmental Science Policy and Management, 130 Mulford Hall, CA, 94720-3114, United States; University of Oslo, Centre for Ecological and Evolutionary Synthesis, Department of Biosciences, P.O. Box 1066, Blindern,Oslo, 0361, Norway; University of KwaZulu-Natal, School of Mathematical Sciences, Private Bag X54001, Durban, 4000, South Africa","Lyons, A.J., University of California at Berkeley, Department of Environmental Science Policy and Management, 130 Mulford Hall, CA, 94720-3114, United States; Turner, W.C., University of California at Berkeley, Department of Environmental Science Policy and Management, 130 Mulford Hall, CA, 94720-3114, United States, University of Oslo, Centre for Ecological and Evolutionary Synthesis, Department of Biosciences, P.O. Box 1066, Blindern,Oslo, 0361, Norway; Getz, W.M., University of California at Berkeley, Department of Environmental Science Policy and Management, 130 Mulford Hall, CA, 94720-3114, United States, University of KwaZulu-Natal, School of Mathematical Sciences, Private Bag X54001, Durban, 4000, South Africa","Lyons, A.J.; University of California at Berkeley, 130 Mulford Hall, United States; email: ajlyons@berkeley.edu", ,1,United States,North_America,High,United States,,Y,,Namibia ,Sub-Saharan_Africa,Upper_Middle,,,,,,,,,Mitchell Serota
"Nathan R., Giuggioli L.",A milestone for movement ecology research,2013,10.1186/2051-3933-1-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84909641756&doi=10.1186%2f2051-3933-1-1&partnerID=40&md5=0240797bcb61f6c9e72c1d59f0849082,"The Hebrew University of Jerusalem, Movement Ecology Laboratory,Department of Ecology, Evolution and Behavior, Alexander Silberman Institute of Life Sciences, Edmond J. Safra Campus, Jerusalem, 91904, Israel; University of Bristol, Department of Engineering Mathematics and School of Biological Sciences, Bristol Centre for Complexity Sciences, Bristol, BS8 1TR, United Kingdom","Nathan, R., The Hebrew University of Jerusalem, Movement Ecology Laboratory,Department of Ecology, Evolution and Behavior, Alexander Silberman Institute of Life Sciences, Edmond J. Safra Campus, Jerusalem, 91904, Israel; Giuggioli, L., University of Bristol, Department of Engineering Mathematics and School of Biological Sciences, Bristol Centre for Complexity Sciences, Bristol, BS8 1TR, United Kingdom","Nathan, R.; The Hebrew University of Jerusalem, Edmond J. Safra Campus, Israel; email: Ran.Nathan@mail.huji.ac.il", ,2,Israel,Middle_East_North_Africa,High,Israel,,N,review,,,,,,,,,,,,Mitchell Serota
"Dodge S., Bohrer G., Weinzierl R., Davidson S.C., Kays R., Douglas D., Cruz S., Han J., Brandes D., Wikelski M.",The environmental-data automated track annotation (Env-DATA) system: Linking animal tracks with environmental data,2013,10.1186/2051-3933-1-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924106756&doi=10.1186%2f2051-3933-1-3&partnerID=40&md5=ddc1cf2b37faca63272828704e83a441,"The Ohio State University, Department of Civil, Environmental and Geodetic Engineering, 475 Hitchcock Hall, Neil Avenue,Columbus, 2070, United States; Max Planck Institute for Ornithology, Radolfzell, Germany; NC State University, NC Museum of Natural Sciences, Raleigh, United States; Alaska Science Center, U.S. Geological Survey, Juneau, United States; University of Illinois at Urbana-Champaign, Urbana, United States; Lafayette College, Easton, United States; University of Konstanz, Department of Biology, Konstanz, Germany","Dodge, S., The Ohio State University, Department of Civil, Environmental and Geodetic Engineering, 475 Hitchcock Hall, Neil Avenue,Columbus, 2070, United States; Bohrer, G., The Ohio State University, Department of Civil, Environmental and Geodetic Engineering, 475 Hitchcock Hall, Neil Avenue,Columbus, 2070, United States; Weinzierl, R., Max Planck Institute for Ornithology, Radolfzell, Germany; Davidson, S.C., The Ohio State University, Department of Civil, Environmental and Geodetic Engineering, 475 Hitchcock Hall, Neil Avenue,Columbus, 2070, United States, Max Planck Institute for Ornithology, Radolfzell, Germany; Kays, R., NC State University, NC Museum of Natural Sciences, Raleigh, United States; Douglas, D., Alaska Science Center, U.S. Geological Survey, Juneau, United States; Cruz, S., Max Planck Institute for Ornithology, Radolfzell, Germany; Han, J., University of Illinois at Urbana-Champaign, Urbana, United States; Brandes, D., Lafayette College, Easton, United States; Wikelski, M., Max Planck Institute for Ornithology, Radolfzell, Germany, University of Konstanz, Department of Biology, Konstanz, Germany","Dodge, S.; The Ohio State University, 475 Hitchcock Hall, United States; email: dodge.66@osu.edu", ,3,United States,North_America,High,United States,,N,previously published,,,,,,,,,,,,Mitchell Serota
"Safi K., Kranstauber B., Weinzierl R., Griffin L., Rees E.C., Cabot D., Cruz S., Proaño C., Takekawa J.Y., Newman S.H., Waldenström J., Bengtsson D., Kays R., Wikelski M., Bohrer G.",Flying with the wind: Scale dependency of speed and direction measurements in modelling wind support in avian flight,2013,10.1186/2051-3933-1-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978129996&doi=10.1186%2f2051-3933-1-4&partnerID=40&md5=a351473098f10d0918c51543aa931f6e,"Max Plank Institute for Ornithology, Department for Migration and Immuno-ecology, Am Obstberg 1, Radolfzell, 78315, Germany; University of Konstanz, Department of Biology, Konstanz, 78464, Germany; Seehausen am Staffelsee, Am Fügsee 2982418, Germany; Slimbridge, Wildfowl and Wetlands Trust, Gloucestershire, GL2 7BT, United Kingdom; White Strand, Killadoon, Environmental Consultancy Services, Louisburgh,Westport, Co. Mayo, Ireland; Western Ecological Research Center, U.S. Geological Survey, 505 Azuar Drive, Vallejo, CA  94592, United States; Food and Agriculture Organization of the United Nations, Emergency Center for Transboundary Animal Diseases, Animal Production and Health Division, Rome, 00153, Italy; Linnaeus University, Centre for Ecology and Evolution in Microbial Model Systems (EEMiS), Kalmar, SE-391 82, Sweden; North Carolina State University, School of Natural Resources, 3118 Jordan Hall, Raleigh, NC  27695, United States; North Carolina Museum of Natural Sciences, 11 West Jones St, Raleigh, NC  27601, United States; The Ohio State University, Department of Civil, Environmental and Geodetic Engineering, Columbus, OH  43210, United States","Safi, K., Max Plank Institute for Ornithology, Department for Migration and Immuno-ecology, Am Obstberg 1, Radolfzell, 78315, Germany, University of Konstanz, Department of Biology, Konstanz, 78464, Germany; Kranstauber, B., Max Plank Institute for Ornithology, Department for Migration and Immuno-ecology, Am Obstberg 1, Radolfzell, 78315, Germany, University of Konstanz, Department of Biology, Konstanz, 78464, Germany; Weinzierl, R., Seehausen am Staffelsee, Am Fügsee 2982418, Germany; Griffin, L., Slimbridge, Wildfowl and Wetlands Trust, Gloucestershire, GL2 7BT, United Kingdom; Rees, E.C., Slimbridge, Wildfowl and Wetlands Trust, Gloucestershire, GL2 7BT, United Kingdom; Cabot, D., White Strand, Killadoon, Environmental Consultancy Services, Louisburgh,Westport, Co. Mayo, Ireland; Cruz, S., Max Plank Institute for Ornithology, Department for Migration and Immuno-ecology, Am Obstberg 1, Radolfzell, 78315, Germany, University of Konstanz, Department of Biology, Konstanz, 78464, Germany; Proaño, C., Max Plank Institute for Ornithology, Department for Migration and Immuno-ecology, Am Obstberg 1, Radolfzell, 78315, Germany, University of Konstanz, Department of Biology, Konstanz, 78464, Germany; Takekawa, J.Y., Western Ecological Research Center, U.S. Geological Survey, 505 Azuar Drive, Vallejo, CA  94592, United States; Newman, S.H., Food and Agriculture Organization of the United Nations, Emergency Center for Transboundary Animal Diseases, Animal Production and Health Division, Rome, 00153, Italy; Waldenström, J., Linnaeus University, Centre for Ecology and Evolution in Microbial Model Systems (EEMiS), Kalmar, SE-391 82, Sweden; Bengtsson, D., Linnaeus University, Centre for Ecology and Evolution in Microbial Model Systems (EEMiS), Kalmar, SE-391 82, Sweden; Kays, R., North Carolina State University, School of Natural Resources, 3118 Jordan Hall, Raleigh, NC  27695, United States, North Carolina Museum of Natural Sciences, 11 West Jones St, Raleigh, NC  27601, United States; Wikelski, M., Max Plank Institute for Ornithology, Department for Migration and Immuno-ecology, Am Obstberg 1, Radolfzell, 78315, Germany, University of Konstanz, Department of Biology, Konstanz, 78464, Germany; Bohrer, G., The Ohio State University, Department of Civil, Environmental and Geodetic Engineering, Columbus, OH  43210, United States","Safi, K.; Max Plank Institute for Ornithology, Am Obstberg 1, Germany; email: ksafi@orn.mpg.de", ,4,Germany,Europe_Central_Asia,High,Germany,,Y,,United States,North_America,High,Ecuador,Germany,England,Sweden,,,,,Mitchell Serota
"Spiegel O., Harel R., Getz W.M., Nathan R.",Mixed strategies of griffon vultures' (Gyps fulvus) response to food deprivation lead to a hump-shaped movement pattern,2013,10.1186/2051-3933-1-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897380821&doi=10.1186%2f2051-3933-1-5&partnerID=40&md5=13c491c240da276dc16b1653a5300967,"The Hebrew University of Jerusalem, Movement Ecology Laboratory, Department of Ecology, Evolution and Behavior, Alexander Silberman Institute of Life Sciences, Edmond J. Safra Campus, Jerusalem, 91904, Israel; University of California at Berkeley, Department of Environmental Science, Policy and Management, Berkeley, CA, 94720-3114, United States; University of KwaZulu-Natal, School of Mathematical Sciences, Durban, South Africa","Spiegel, O., The Hebrew University of Jerusalem, Movement Ecology Laboratory, Department of Ecology, Evolution and Behavior, Alexander Silberman Institute of Life Sciences, Edmond J. Safra Campus, Jerusalem, 91904, Israel; Harel, R., The Hebrew University of Jerusalem, Movement Ecology Laboratory, Department of Ecology, Evolution and Behavior, Alexander Silberman Institute of Life Sciences, Edmond J. Safra Campus, Jerusalem, 91904, Israel; Getz, W.M., University of California at Berkeley, Department of Environmental Science, Policy and Management, Berkeley, CA, 94720-3114, United States, University of KwaZulu-Natal, School of Mathematical Sciences, Durban, South Africa; Nathan, R., The Hebrew University of Jerusalem, Movement Ecology Laboratory, Department of Ecology, Evolution and Behavior, Alexander Silberman Institute of Life Sciences, Edmond J. Safra Campus, Jerusalem, 91904, Israel","Spiegel, O.; The Hebrew University of Jerusalem, Edmond J. Safra Campus, Israel; email: orr.spiegel@mail.huji.ac.il", ,5,Israel,Middle_East_North_Africa,High,Israel,,Y,,Israel ,Middle_East_North_Africa,High,Jordan,,,,,,,,Mitchell Serota
"Jeltsch F., Bonte D., Pe'er G., Reineking B., Leimgruber P., Balkenhol N., Schröder B., Buchmann C.M., Mueller T., Blaum N., Zurell D., Böhning-Gaese K., Wiegand T., Eccard J.A., Hofer H., Reeg J., Eggers U., Bauer S.",Integrating movement ecology with biodiversity research - exploring new avenues to address spatiotemporal biodiversity dynamics,2013,10.1186/2051-3933-1-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895736747&doi=10.1186%2f2051-3933-1-6&partnerID=40&md5=d279cfa4fc2b5f681e95da6e13cff091,"University of Potsdam, Department of Plant Ecology and Nature Conservation, Intitute of Biochemistry and Biology, Maulbeerallee 2, Potsdam, 14469, Germany; Berlin-Brandenburg Institute of Advanced Biodiversity Research (BBIB), Berlin, D-14195, Germany; Ghent University, Department of Biology, K.L. Ledeganckstraat 35, Gent, 9000, Belgium; UFZ - Helmholtz Centre for Environmental Research, Department of Conservation Biology, Permoserstr 15, Leipzig, 04318, Germany; University of Bayreuth, Biogeographical Modelling, BayCEER, Universitätsstr. 30, Bayreuth, 95447, Germany; UR EMGR Écosystèmes Montagnards, Irstea, 2 rue de la Papeterie-BP 76, St-Martin-d'Hères, F-38402, France; Smithsonian, Conservation Biology Institute, National Zoological Park, 1500 Remount Road, Front Royal, VA  22630, United States; University of Göttingen, Department of Forest Zoology and Forest Conservation, Buesgenweg 3, Göttingen, 37077, Germany; Technische Universität München, Landscape Ecology, Emil-Ramann-Str. 6, Freising-Weihenstephan, 85354, Germany; Technical University of Braunschweig, Environmental Systems Analysis, Institute of Geoecology, Langer Kamp 19c, Braunschweig, 38106, Germany; UFZ - Helmholtz Centre for Environmental Research, Department of Landscape Ecology, Permoserstr. 15, Leipzig, 04318, Germany; University of Maryland, Department of Biology, College Park, MD  20742, United States; Senckenberg Gesellschaft für Naturforschung, Biodiversity and Climate Research Centre (BiK-F), Senckenberganlage 25, Frankfurt (Main), 60325, Germany; Goethe Universität, Department of Biological Sciences, Max-von-Laue-Straße 9, Frankfurt (Main), 60438, Germany; Helmholz Centre for Environmental Research (UFZ), Department of Ecological Modelling, Permoserstr. 15, Leipzig, 04318, Germany; Universität Potsdam, Department of Animal Ecology, Institute of Biochemistry and Biology, Maulbeerallee 1, Potsdam, 14469, Germany; Leibniz Institute for Zoo and Wildlife Research (IZW) in the Forschungsverbund Berlin e.V., Department of Evolutionary Ecology, Alfred-Kowalke-Str. 17, Berlin, 10315, Germany; Netherlands Institute of Ecology (NIOO-KNAW), Department of Animal Ecology, P.O. Box 50, Wageningen, AB  6700, Netherlands; Swiss Ornithological Institute, Seerose 1, Sempach, 6204, Switzerland","Jeltsch, F., University of Potsdam, Department of Plant Ecology and Nature Conservation, Intitute of Biochemistry and Biology, Maulbeerallee 2, Potsdam, 14469, Germany, Berlin-Brandenburg Institute of Advanced Biodiversity Research (BBIB), Berlin, D-14195, Germany; Bonte, D., Ghent University, Department of Biology, K.L. Ledeganckstraat 35, Gent, 9000, Belgium; Pe'er, G., UFZ - Helmholtz Centre for Environmental Research, Department of Conservation Biology, Permoserstr 15, Leipzig, 04318, Germany; Reineking, B., University of Bayreuth, Biogeographical Modelling, BayCEER, Universitätsstr. 30, Bayreuth, 95447, Germany, UR EMGR Écosystèmes Montagnards, Irstea, 2 rue de la Papeterie-BP 76, St-Martin-d'Hères, F-38402, France; Leimgruber, P., Smithsonian, Conservation Biology Institute, National Zoological Park, 1500 Remount Road, Front Royal, VA  22630, United States; Balkenhol, N., University of Göttingen, Department of Forest Zoology and Forest Conservation, Buesgenweg 3, Göttingen, 37077, Germany; Schröder, B., Berlin-Brandenburg Institute of Advanced Biodiversity Research (BBIB), Berlin, D-14195, Germany, Technische Universität München, Landscape Ecology, Emil-Ramann-Str. 6, Freising-Weihenstephan, 85354, Germany, Technical University of Braunschweig, Environmental Systems Analysis, Institute of Geoecology, Langer Kamp 19c, Braunschweig, 38106, Germany; Buchmann, C.M., UFZ - Helmholtz Centre for Environmental Research, Department of Landscape Ecology, Permoserstr. 15, Leipzig, 04318, Germany; Mueller, T., Smithsonian, Conservation Biology Institute, National Zoological Park, 1500 Remount Road, Front Royal, VA  22630, United States, University of Maryland, Department of Biology, College Park, MD  20742, United States; Blaum, N., University of Potsdam, Department of Plant Ecology and Nature Conservation, Intitute of Biochemistry and Biology, Maulbeerallee 2, Potsdam, 14469, Germany; Zurell, D., University of Potsdam, Department of Plant Ecology and Nature Conservation, Intitute of Biochemistry and Biology, Maulbeerallee 2, Potsdam, 14469, Germany; Böhning-Gaese, K., Senckenberg Gesellschaft für Naturforschung, Biodiversity and Climate Research Centre (BiK-F), Senckenberganlage 25, Frankfurt (Main), 60325, Germany, Goethe Universität, Department of Biological Sciences, Max-von-Laue-Straße 9, Frankfurt (Main), 60438, Germany; Wiegand, T., Helmholz Centre for Environmental Research (UFZ), Department of Ecological Modelling, Permoserstr. 15, Leipzig, 04318, Germany; Eccard, J.A., Berlin-Brandenburg Institute of Advanced Biodiversity Research (BBIB), Berlin, D-14195, Germany, Universität Potsdam, Department of Animal Ecology, Institute of Biochemistry and Biology, Maulbeerallee 1, Potsdam, 14469, Germany; Hofer, H., Leibniz Institute for Zoo and Wildlife Research (IZW) in the Forschungsverbund Berlin e.V., Department of Evolutionary Ecology, Alfred-Kowalke-Str. 17, Berlin, 10315, Germany; Reeg, J., University of Potsdam, Department of Plant Ecology and Nature Conservation, Intitute of Biochemistry and Biology, Maulbeerallee 2, Potsdam, 14469, Germany; Eggers, U., University of Potsdam, Department of Plant Ecology and Nature Conservation, Intitute of Biochemistry and Biology, Maulbeerallee 2, Potsdam, 14469, Germany; Bauer, S., Netherlands Institute of Ecology (NIOO-KNAW), Department of Animal Ecology, P.O. Box 50, Wageningen, AB  6700, Netherlands, Swiss Ornithological Institute, Seerose 1, Sempach, 6204, Switzerland","nullMaulbeerallee 2, Germany", ,6,Germany,Europe_Central_Asia,High,Germany,,N,review,,,,,,,,,,,,Mitchell Serota
"Farmer N.A., Ault J.S., Smith S.G., Franklin E.C.",Methods for assessment of short-term coral reef fish movements within an acoustic array,2013,10.1186/2051-3933-1-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988943773&doi=10.1186%2f2051-3933-1-7&partnerID=40&md5=0de8594e98270b36513a569eb8d7e3a4,"University of Miami, Rosenstiel School for Marine and Atmospheric Science, Division of Marine Biology and Fisheries, 4600 Rickenbacker Causeway, Miami, FL  33149, United States; Southeast Regional Office, NOAA Fisheries, 263 13th Ave South, Saint Petersburg, FL  33701, United States; University of Hawai'i at Manoa, School of Ocean and Earth Science and Technology, Hawai'i Institute of Marine Biology, PO Box 1346, Kaneohe, HI  96744, United States","Farmer, N.A., University of Miami, Rosenstiel School for Marine and Atmospheric Science, Division of Marine Biology and Fisheries, 4600 Rickenbacker Causeway, Miami, FL  33149, United States, Southeast Regional Office, NOAA Fisheries, 263 13th Ave South, Saint Petersburg, FL  33701, United States; Ault, J.S., University of Miami, Rosenstiel School for Marine and Atmospheric Science, Division of Marine Biology and Fisheries, 4600 Rickenbacker Causeway, Miami, FL  33149, United States; Smith, S.G., University of Miami, Rosenstiel School for Marine and Atmospheric Science, Division of Marine Biology and Fisheries, 4600 Rickenbacker Causeway, Miami, FL  33149, United States; Franklin, E.C., University of Hawai'i at Manoa, School of Ocean and Earth Science and Technology, Hawai'i Institute of Marine Biology, PO Box 1346, Kaneohe, HI  96744, United States","Farmer, N.A.; University of Miami, 4600 Rickenbacker Causeway, United States; email: nick.farmer@noaa.gov", ,7,United States,North_America,High,United States,,Y,,United States,North_America,High,,,,,,,,,Mitchell Serota
"Davies N., Gramotnev G., Seabrook L., Bradley A., Baxter G., Rhodes J., Lunney D., McAlpine C.",Movement patterns of an arboreal marsupial at the edge of its range: A case study of the koala,2013,10.1186/2051-3933-1-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924194538&doi=10.1186%2f2051-3933-1-8&partnerID=40&md5=ca29f3f13b8f3152dd87634b18711940,"The University of Queensland, School of Biomedical Sciences, St Lucia, QLD  4072, Australia; The University of Queensland, Landscape Ecology and Conservation Group, School of Geography, Planning and Environmental Management, St Lucia, QLD  4072, Australia; The University of Queensland, Environmental Decisions Group, St Lucia, QLD  4072, Australia; Office of Environment and Heritage NSW, PO Box 1967, Hurstville, NSW  2220, Australia; Murdoch University, School of Veterinary and Life Sciences, Perth, WA, Australia","Davies, N., The University of Queensland, School of Biomedical Sciences, St Lucia, QLD  4072, Australia; Gramotnev, G., The University of Queensland, Landscape Ecology and Conservation Group, School of Geography, Planning and Environmental Management, St Lucia, QLD  4072, Australia; Seabrook, L., The University of Queensland, Landscape Ecology and Conservation Group, School of Geography, Planning and Environmental Management, St Lucia, QLD  4072, Australia, The University of Queensland, Environmental Decisions Group, St Lucia, QLD  4072, Australia; Bradley, A., The University of Queensland, School of Biomedical Sciences, St Lucia, QLD  4072, Australia; Baxter, G., The University of Queensland, Landscape Ecology and Conservation Group, School of Geography, Planning and Environmental Management, St Lucia, QLD  4072, Australia; Rhodes, J., The University of Queensland, Landscape Ecology and Conservation Group, School of Geography, Planning and Environmental Management, St Lucia, QLD  4072, Australia, The University of Queensland, Environmental Decisions Group, St Lucia, QLD  4072, Australia; Lunney, D., Office of Environment and Heritage NSW, PO Box 1967, Hurstville, NSW  2220, Australia, Murdoch University, School of Veterinary and Life Sciences, Perth, WA, Australia; McAlpine, C., The University of Queensland, Landscape Ecology and Conservation Group, School of Geography, Planning and Environmental Management, St Lucia, QLD  4072, Australia, The University of Queensland, Environmental Decisions Group, St Lucia, QLD  4072, Australia","Davies, N.; The University of Queensland, Australia; email: n.davies1@uq.edu.au", ,8,Australia,East_Asia_Pacific,High,Australia,,Y,,Australia,East_Asia_Pacific,High,,,,,,,,,Mitchell Serota
"Tesson S.V.M., Edelaar P.","Dispersal in a changing world: Opportunities, insights and challenges",2013,10.1186/2051-3933-1-10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899910081&doi=10.1186%2f2051-3933-1-10&partnerID=40&md5=14cd1a9ae67b37a9fc6f54fa09501995,"Lund University, Department of Biology, Lund, Sweden; University Pablo de Olavide, Department of Molecular Biology and x0026; Biochemical Engineering, Seville, Spain; Estación Biológica de Doñana - CSIC, Department of Conservation Biology, Seville, Spain","Tesson, S.V.M., Lund University, Department of Biology, Lund, Sweden; Edelaar, P., University Pablo de Olavide, Department of Molecular Biology and x0026; Biochemical Engineering, Seville, Spain, Estación Biológica de Doñana - CSIC, Department of Conservation Biology, Seville, Spain","Tesson, S.V.M.; Lund University, Sweden; email: sylvie.tesson@biol.lu.se", ,9,Sweden,Europe_Central_Asia,High,Sweden,,N,review,,,,,,,,,,,,Mitchell Serota
"Gautestad A.O., Mysterud A.",The Lévy flight foraging hypothesis: Forgetting about memory may lead to false verification of Brownian motion,2013,10.1186/2051-3933-1-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908485507&doi=10.1186%2f2051-3933-1-9&partnerID=40&md5=d8e335f5ee7c188165f5a9a38bee0367,"University of Oslo, Centre for Ecological and Evolutionary Synthesis, Department of Biosciences, P.O. Box 1066, Blindern, Oslo, NO-0316, Norway","Gautestad, A.O., University of Oslo, Centre for Ecological and Evolutionary Synthesis, Department of Biosciences, P.O. Box 1066, Blindern, Oslo, NO-0316, Norway; Mysterud, A., University of Oslo, Centre for Ecological and Evolutionary Synthesis, Department of Biosciences, P.O. Box 1066, Blindern, Oslo, NO-0316, Norway","Gautestad, A.O.; University of Oslo, P.O. Box 1066, Norway; email: a.o.gautestad@ibv.uio.no", ,10,Norway,Europe_Central_Asia,High,Norway,,Y,,Norway,Europe_Central_Asia,High,,,,,,,,,Mitchell Serota
